URL,SIZE (BYTES),NO OF OUTLINKS,CONTENT-TYPE
https://www.dailymail.co.uk/news/article-6726859/LF-Economics-predicts-40-cent-house-price-drop-Sydney-Melbourne-scale-unseen-1890s.html,536839,967,text/html
https://www.dailymail.co.uk/news/article-6721589/amp/The-truth-finally-Mother-Paul-Hollywoods-23-year-old-lover-posts-Instagram-video.html,283820,764,text/html
https://www.dailymail.co.uk/news/article-6719335/Huaweis-founder-says-world-live-without-it.html,534332,963,text/html
https://www.dailymail.co.uk/news/article-6711143/Environment-Secretary-unveil-bottle-deposit-scheme-victory-Mails-war-plastic.html,532301,962,text/html
https://www.dailymail.co.uk/news/article-6723465/Andy-McCabe-says-believes-possible-Trump-Russian-asset.html,535097,968,text/html
https://www.dailymail.co.uk/news/article-6721951/Police-Tip-Smollett-2-brothers-elevator.html,566391,978,text/html
https://www.dailymail.co.uk/news/article-6608833/ROBERT-HARDMAN-day-Prince-Philip-diligently-carefully-drove-Windsor-estate.html,533572,963,text/html
https://www.dailymail.co.uk/news/article-6724451/Grandmother-Betty-Humphries-worked-NHS-Wales-35-years-died-hospital-failings.html,529981,966,text/html
https://www.dailymail.co.uk/news/article-6724465/Michael-Jacksons-maid-breaks-silence-really-went-on.html,555578,965,text/html
https://www.dailymail.co.uk/news/article-6715221/80-000-Daily-Mail-readers-pledge-pick-litter-Britain-Tidys-Great-British-Spring-Clean.html,526870,964,text/html
https://www.dailymail.co.uk/news/article-6726041/Alexandria-Ocasio-Cortez-lashes-critics-attacks-Amazon.html,546266,973,text/html
https://www.dailymail.co.uk/news/article-6727113/I-want-KILL-Tory-Party-Astonishing-claim-rebel-MP-Heidi-Allen.html,545465,966,text/html
https://www.dailymail.co.uk/news/article-6725429/May-slams-Corbyn-turning-proud-Labour-institutionally-anti-Semitic-party.html,527816,966,text/html
https://www.dailymail.co.uk/news/article-6609795/Driver-claims-Prince-Philip-smashed-near-Sandringham-estate.html,563670,971,text/html
https://www.dailymail.co.uk/news/article-6717603/Malia-Obamas-secret-Facebook-account-reveals-anti-Trump-messages.html,177052,199,text/html
https://www.dailymail.co.uk/news/article-6725951/Barack-Obama-slams-hip-hop-rap-music-promoting-toxic-masculinity.html,540977,968,text/html
https://www.dailymail.co.uk/news/article-6721923/Ex-European-president-says-room-compromise.html,537781,966,text/html
https://www.dailymail.co.uk/news/article-6673951/Meghan-begged-father-stop-victimizing-wedding.html,552520,974,text/html
https://www.dailymail.co.uk/news/article-6719215/CBSs-Lara-Logan-says-committing-professional-suicide-admits-media-liberal.html,540704,964,text/html
https://www.dailymail.co.uk/news/florida/index.html,490384,624,text/html
https://www.dailymail.co.uk/news/article-6727419/Top-sundial-expert-sheds-fascinating-light-art-form-fears-slipping-shadows.html,528780,964,text/html
https://www.dailymail.co.uk/news/article-6722665/Thousands-demonstrate-against-anti-Semitism-France-following-spike-hate-crimes.html,536113,967,text/html
https://www.dailymail.co.uk/news/article-6726659/College-freshman-accused-creating-app-sell-cocaine-meth.html,528948,967,text/html
https://www.dailymail.co.uk/news/article-6723327/amp/Samantha-Markle-urges-sister-Meghan-dad-trip.html,284730,767,text/html
https://www.dailymail.co.uk/news/article-6726089/Abigail-Kopf-shot-Michigan-Uber-driver-no-childhood-memories-doesnt-feel-normal.html,554133,978,text/html
https://www.dailymail.co.uk/news/article-6726957/Surveillance-footage-Nigerian-brothers-Jussie-Smollett-attack-buying-ski-masks-red-hat.html,588623,989,text/html
https://www.dailymail.co.uk/news/article-6718373/Jussie-Smollett-staged-hoax-attack-threatening-letter-did-not-attention.html,543569,964,text/html
https://www.dailymail.co.uk/news/article-6727041/Coast-Guard-lieutenant-arrested-arsenal-accused-plotting-massive-attack.html,537537,972,text/html
https://www.dailymail.co.uk/news/article-6721145/Bangladesh-blocks-internet-porn-taking-20-000-websites.html,524828,966,text/html
https://www.dailymail.co.uk/news/article-6725073/Video-girl-getting-ready-cheer-competition-fatal-gas-explosion.html,537025,966,text/html
https://www.dailymail.co.uk/news/article-6612195/Nine-year-old-girl-named-Queenie-reveals-hero-grandfather-helped-rescue-Prince-Philip-97.html,535673,969,text/html
https://www.dailymail.co.uk/news/article-6727551/David-Cameron-pleaded-Three-Amigos-Tory-defectors.html,520978,968,text/html
https://www.dailymail.co.uk/news/article-6725541/Is-Whoopi-secretly-hosting-Oscars.html,547139,975,text/html
https://www.dailymail.co.uk/news/article-6724309/amp/Michael-Jackson-accusers-speak-abuse-trailer-Leaving-Neverland-documentary.html,284812,763,text/html
https://www.dailymail.co.uk/news/article-6720093/Kamala-Harris-caught-guard-probed-previous-tweet-actor-Jussie-Smollett.html,538337,966,text/html
https://www.dailymail.co.uk/news/article-6580005/Builder-51-scooped-76million-EuroMillions-jackpot-says-honour-quotes-work.html,530626,969,text/html
https://www.dailymail.co.uk/news/article-6607639/Should-Prince-Philip-driving-97-Palace-insist-Dukes-licence-date.html,538578,974,text/html
https://www.dailymail.co.uk/news/article-6721221/ISIS-obsessed-teenager-19-plotted-London-Bridge-style-terror-attack.html,523119,965,text/html
https://www.dailymail.co.uk/news/article-6722129/Suicide-not-fashion-Model-hits-Burberry.html,535257,968,text/html
https://www.dailymail.co.uk/news/article-6726995/Paramedics-war-veteran-100-wife-94-hospital-time-apart.html,523320,963,text/html
https://www.dailymail.co.uk/news/gold-coast/index.html,485886,629,text/html
https://www.dailymail.co.uk/news/article-6718073/Malias-Miami-girl-squad-Former-daughters-friends-high-school-classmates.html,172974,190,text/html
https://www.dailymail.co.uk/news/article-6724121/Claims-Tory-MPs-defect-new-Independent-Group-soon-TODAY.html,256039,192,text/html
https://www.dailymail.co.uk/news/article-6725381/Schoolboy-15-convicted-sex-assault-girl-classroom-allowed-stay-school.html,530659,966,text/html
https://www.dailymail.co.uk/news/article-6608795/RICHARD-KAY-Prince-Philip-Queen-live-separate.html,536507,962,text/html
https://www.dailymail.co.uk/news/article-6722851/amp/Ticket-bought-Ireland-scoops-153-MILLION-EuroMillions-jackpot.html,285464,765,text/html
https://www.dailymail.co.uk/news/article-6724415/Kevin-Spaceys-estranged-brother-fears-actor-kill-sexual-assault-allegations.html,542024,973,text/html
https://www.dailymail.co.uk/news/article-6722423/Cyclone-Oma-smash-east-coast-224km-h-winds-thunderstorms-monster-waves-heavy-rain.html,532948,968,text/html
https://www.dailymail.co.uk/news/article-6724061/Only-Fools-Horses-musical-gets-mixed-reviews-critics-opening-night.html,572952,997,text/html
https://www.dailymail.co.uk/news/article-6727033/Sydney-parents-charged-murder-death-two-year-old-boy-Westmead-Hospital.html,522347,961,text/html
https://www.dailymail.co.uk/news/article-6569645/EuroMillions-winner-scooped-115m-jackpot-saves-hard-sisters-house.html,540643,968,text/html
https://www.dailymail.co.uk/news/article-6727155/Chinese-buyers-snap-multi-million-dollar-homes-hours-Australian-property-market-crumbles.html,527707,973,text/html
https://www.dailymail.co.uk/news/article-6722799/John-Major-urges-Tory-rebels-not-abandon-party.html,543276,970,text/html
https://www.dailymail.co.uk/news/article-6655863/Will-Meghan-baby-Lindo-Wing.html,541041,971,text/html
https://www.dailymail.co.uk/news/article-6721467/Avalanche-hits-Swiss-piste-leaving-12-people-buried.html,531651,967,text/html
https://www.dailymail.co.uk/news/article-6719269/Navy-officials-say-accusations-Tom-Cruise-rude-filming-Gun-sequel-unfounded.html,533796,964,text/html
https://www.dailymail.co.uk/news/article-6724199/Cyclone-Oma-wreaking-havoc-ute-stranded-Mudlo-Rock.html,532410,967,text/html
https://www.dailymail.co.uk/news/article-6611205/Mother-two-broke-wrist-Sandringham-car-crash-says-Prince-Philip-NOT-said-sorry.html,573617,976,text/html
https://www.dailymail.co.uk/news/article-6721059/Birmingham-13th-century-moated-manor-house-drawbridge-sale-1-25million.html,162346,173,text/html
https://www.dailymail.co.uk/news/article-6727205/amp/Brave-surfers-massive-swells-punishing-Tropical-Cyclone-Oma-threatens-smash-Queensland.html,293875,766,text/html
https://www.dailymail.co.uk/news/article-6727335/Huawei-no-credible-plan-quell-fears-technology-used-Chinese-government-spies.html,529990,964,text/html
https://www.dailymail.co.uk/news/national_lottery/index.html,466723,606,text/html
https://www.dailymail.co.uk/news/article-6725401/Hunt-California-mother-49-seen-Valentines-afternoon-casino.html,533044,967,text/html
https://www.dailymail.co.uk/news/article-6724071/Karl-Lagerfelds-ashes-mixed-remains-one-true-love-died-AIDS-1989.html,295546,220,text/html
https://www.dailymail.co.uk/news/brisbane/index.html,675854,1091,text/html
https://www.dailymail.co.uk/news/article-6724139/Has-Night-Watcher-fled-Britain-Police-fear-shotgun-wielding-burglar-abroad.html,555486,968,text/html
https://www.dailymail.co.uk/news/article-6604385/Archbishop-York-tweets-prayers-Duke-Edinburgh-recover-car-crash.html,536223,968,text/html
https://www.dailymail.co.uk/news/article-6708985/New-parents-scoop-Lottery-win-just-days-mother-goes-labour.html,529525,964,text/html
https://www.dailymail.co.uk/news/article-6723553/Mariano-Rivera-calls-child-support-allegations-unfounded.html,530624,965,text/html
https://www.dailymail.co.uk/news/article-6726471/US-says-Alabama-woman-joined-Islamic-State-return.html,560335,978,text/html
https://www.dailymail.co.uk/news/article-6722697/Nicholas-Lyndhurst-skips-Fools-Horses-musical-premiere.html,552352,974,text/html
https://www.dailymail.co.uk/news/article-6723141/Former-CEO-Paramount-Fox-says-Netflix-won-game-Hollywood-irrelevant.html,534330,965,text/html
https://www.dailymail.co.uk/news/article-6724087/Joan-Ryan-Gone-Palestine-Lives-Fury-Young-Labour-sends-gleeful-tweet-eighth-MP-quit.html,531777,972,text/html
https://www.dailymail.co.uk/news/article-6723597/Britain-strip-IS-teen-citizenship-lawyer.html,515430,956,text/html
https://www.dailymail.co.uk/news/article-6725193/Doberman-puppy-gets-mouth-stuck-watering-Hampstead-north-London.html,524278,964,text/html
https://www.dailymail.co.uk/news/article-6604211/Prince-Philip-Duke-Edinburgh-carried-driving-cars-horse-drawn-carriages-retirement.html,387896,284,text/html
https://www.dailymail.co.uk/news/article-6724329/amp/Hitlers-mountain-lair-revealed-haunting-new-photo-album-showing-leaders-expensive-tastes.html,296440,766,text/html
https://www.dailymail.co.uk/news/article-6725997/Meghan-Markle-flanked-U-S-special-agents-New-York-visit.html,544770,965,text/html
https://www.dailymail.co.uk/news/article-6727303/STEPHEN-GLOVER-jihadi-bride-monster-shes-monster-return-home-justice.html,529736,963,text/html
https://www.dailymail.co.uk/news/article-6704933/Britains-forgotten-African-heroes-risked-lives-WWII-suffered-beatings.html,172135,179,text/html
https://www.dailymail.co.uk/news/article-6725031/Kerry-Katona-warned-face-JAIL-failing-turn-court.html,535326,966,text/html
https://www.dailymail.co.uk/news/article-3619453/Clarifications-corrections.html,286190,475,text/html
https://www.dailymail.co.uk/news/article-6721077/Saudis-Mohammed-bin-Salman-given-gold-plated-gun-visiting-Pakistan.html,546011,973,text/html
https://www.dailymail.co.uk/news/article-6665095/Duchess-Cambridges-personal-battle-highlight-importance-childrens-mental-health.html,546379,977,text/html
https://www.dailymail.co.uk/news/article-6725727/Hundreds-civilians-evacuated-final-assault-ISIS-refuse-surrender.html,537826,968,text/html
https://www.dailymail.co.uk/news/article-6724753/amp/Amir-Khan-blasts-arrogant-jihadi-bride-Shamima-Begum-giving-Muslims-bad-name.html,300420,770,text/html
https://www.dailymail.co.uk/news/article-6725679/Comedian-Jeremy-Hardys-family-friends-say-goodbyes-Dorset-funeral.html,536816,969,text/html
https://www.dailymail.co.uk/news/article-6724427/Knee-buckling-drone-footage-shows-two-teenagers-posing-atop-820ft-crane-Canary-Wharf.html,528453,961,text/html
https://www.dailymail.co.uk/news/article-6593743/Mother-reveals-Meghan-gushed-Prince-Harrys-parenting-skills.html,543354,972,text/html
https://www.dailymail.co.uk/news/germany/index.html,676773,1091,text/html
https://www.dailymail.co.uk/news/article-6720625/Last-posts-English-backpacker-20-disappeared-friend-parking-rental-car.html,537960,971,text/html
https://www.dailymail.co.uk/news/article-6726809/Hilarious-photo-shows-crested-pigeon-perched-fridge-Woolies.html,526458,966,text/html
https://www.dailymail.co.uk/news/article-6724655/At-12-British-ISIS-brides-arrived-Syrian-refugee-camps-past-week.html,542095,976,text/html
https://www.dailymail.co.uk/news/article-6725687/Intern-killed-lion-escaped-pen-large-ball-preventing-gate-properly-closing.html,541210,970,text/html
https://www.dailymail.co.uk/news/article-6724835/Hit-run-driver-Michael-Ricardo-Robinson-jailed-killing-Taylor-Schofield-Beswick-Manchester.html,531075,966,text/html
https://www.dailymail.co.uk/news/article-6723325/Nigerian-brothers-say-Jussie-Smollett-faked-threatening-letter-week-hoax-attack.html,549160,968,text/html
https://www.dailymail.co.uk/news/article-6725649/Saudi-Crown-Prince-hugs-Indias-leader-Narendra-Modi-revealing-100BILLION-investment.html,536438,972,text/html
https://www.dailymail.co.uk/news/article-6711885/Bruno-Ganz-starred-Hitler-Downfall-movie-died-aged-77.html,537516,974,text/html
https://www.dailymail.co.uk/news/worldnews/index.html,167465,148,text/html
https://www.dailymail.co.uk/news/article-6613359/The-weekend-wheels-fell-Royal-PR-machine.html,533041,961,text/html
https://www.dailymail.co.uk/news/article-6724745/Artworks-allegedly-painted-Adolf-Hitler-fake-expert-claims.html,530712,969,text/html
